aX,aY,aZ,gX,gY,gZ
0.179,-0.199,-1.021,-3.357,-5.127,-7.996
0.185,-0.209,-0.983,-3.723,-2.563,-9.094
0.194,-0.211,-0.958,-4.333,-1.709,-8.728
0.196,-0.202,-0.943,-4.578,-1.709,-6.897
0.192,-0.183,-0.9,-6.348,-2.441,-4.456
0.188,-0.162,-0.886,-3.54,-3.906,-2.869
0.184,-0.152,-0.877,-2.441,-5.554,-2.563
0.177,-0.142,-0.856,-4.944,-6.348,-3.235
0.176,-0.13,-0.848,-7.568,-5.371,-3.723
0.17,-0.122,-0.854,-10.071,-3.601,-3.662
0.162,-0.119,-0.871,-12.817,-2.441,-3.113
0.155,-0.116,-0.896,-16.418,-2.319,-2.136
0.145,-0.115,-0.91,-19.348,-2.502,-1.221
0.127,-0.113,-0.925,-20.813,-2.136,-0.61
0.108,-0.116,-0.954,-16.479,-0.977,-0.366
0.097,-0.112,-0.991,-10.742,1.343,-1.038
0.091,-0.118,-1.019,-7.751,3.418,-2.136
0.083,-0.128,-1.038,-7.935,3.479,-2.991
0.076,-0.144,-1.053,-8.118,2.38,-3.54
0.078,-0.156,-1.065,-6.897,0.549,-3.906
0.196,-0.411,-2.091,134.521,18.921,-31.25
0.223,-0.49,-2.285,179.871,33.081,-41.077
0.218,-0.535,-2.533,234.924,47.974,-50.476
0.195,-0.51,-2.737,288.574,62.012,-56.091
0.154,-0.452,-2.844,339.661,70.068,-56.58
0.095,-0.296,-2.861,389.954,65.125,-58.96
0.05,-0.181,-2.79,439.697,45.166,-65.552
0.022,-0.117,-2.646,458.435,20.447,-71.96
0.011,-0.085,-2.502,476.501,-7.446,-80.811
0.005,0.011,-2.325,499.39,-36.621,-91.675
0.031,0.091,-2.104,507.568,-59.082,-102.356
0.058,0.097,-1.847,502.502,-72.021,-109.985
0.112,0.082,-1.594,505.554,-74.707,-115.54
0.176,0.128,-1.417,511.047,-64.453,-118.408
0.235,0.128,-1.239,506.042,-46.021,-115.051
