aX,aY,aZ,gX,gY,gZ
0.264,0.607,-0.815,-31.677,-10.559,-9.827
0.256,0.609,-0.782,-32.104,-9.216,-9.277
0.262,0.592,-0.766,-29.724,-7.69,-7.812
0.272,0.589,-0.771,-27.344,-5.737,-5.798
0.291,0.606,-0.795,-27.222,-3.357,-5.31
0.297,0.613,-0.823,-28.625,-0.61,-7.141
0.291,0.615,-0.844,-30.64,2.136,-10.62
0.294,0.608,-0.86,-32.41,2.563,-14.16
0.289,0.594,-0.868,-33.875,2.197,-16.907
0.287,0.577,-0.871,-34.912,1.282,-19.043
0.282,0.556,-0.872,-36.255,0.977,-20.813
0.27,0.538,-0.857,-36.865,1.465,-22.034
0.269,0.513,-0.857,-35.583,2.075,-22.339
0.273,0.487,-0.884,-33.508,3.357,-21.118
0.263,0.478,-0.93,-33.63,6.165,-19.775
0.251,0.487,-0.975,-35.889,8.789,-18.188
0.257,0.481,-1.017,-37.048,10.132,-15.625
-1.063,0.875,2.337,126.831,10.254,106.201
-1.561,1.682,2.773,157.288,24.048,108.521
-2.072,2.519,3.09,194.763,33.142,121.094
-2.507,3.341,3.179,234.802,40.955,162.109
-2.767,3.995,2.636,279.48,64.697,236.389
-2.449,4,1.464,312.744,123.657,337.646
-1.723,4,0.072,312.622,205.261,454.529
-0.352,4,-1.222,282.776,250.305,534.912
1.211,4,-2.434,249.512,213.257,509.705
2.609,4,-3.304,174.072,112.244,370.667
3.063,3.801,-2.911,34.607,-26.001,146.545
2.38,3.333,-1.392,-142.7,-138.062,-98.694
0.989,2.879,0.442,-262.939,-200.867,-330.811
-0.602,2.293,1.719,-264.465,-246.765,-512.756
-1.692,1.474,1.935,-152.344,-267.212,-583.069
-2.091,0.775,1.383,-42.175,-222.229,-512.39
-2.002,0.509,0.8,-39.246,-100.586,-349.67
-1.701,0.613,0.558,-123.535,55.054,-157.532
-1.272,0.829,0.552,-211.243,178.04,-1.526
-0.783,1.037,0.555,-253.113,215.942,87.708
-0.384,1.152,0.516,-243.713,170.776,106.812
-0.146,1.165,0.442,-206.36,90.088,67.2
-0.041,1.102,0.341,-160.156,13.062,-5.005
-0.07,0.978,0.202,-122.742,-39.246,-81.787
-0.21,0.807,0.078,-102.295,-63.721,-142.395
-0.33,0.625,0.003,-95.459,-69.336,-175.598
-0.388,0.453,-0.015,-95.52,-65.063,-179.749
-0.344,0.316,-0.03,-99.548,-51.758,-161.499
-0.295,0.202,-0.079,-104.248,-28.198,-131.897
